PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4
1,9/25/2025,14:02:13,1,1,"Tovar, Jesus",821349,Left,TEX_BOB,"Vossos, Justin",702489,Right,TEX_BOB,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,90.23587,-2.608357,4.279569,2114.800081,131.419145,10:30:00,5.85247,-2.51208,5.62501,-19.90474,14.88091,-15.60631,1.75118,0.18844,82.63616,-6.327562,1.501766,0.424494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.03079,8.57646,2.15672,50,5.61667,-9.07891,-130.60875,-6.62636,15.64675,26.7282,-17.31449,TEX_BOB,TEX_BOB,TexasStateUniversity,TeamExclusive,Team,20250925-TexasStateUniversity-Private-1,259e5d60-9a42-11f0-862e-33ae9783893e,88.79382,NA,NA,7.59971,NA,NA,NA,NA,NA,NA,32ecd9e8-d465-4f8e-80a0-4d34dc0c3c02,2025-09-25,19:02:13,2025-09-25T19:02:13Z,2025-09-25T19:02:13Z,NA,v3,471452,471452,NA,"Namken, Clayton",NA,Right,TEX_BOB,2fc45872-9bb5-4bdd-b0af-198fef437cd0,54.87593,-131.60279,13.3641,5.85114,-5.98242,-8.65724,2.50519,-9.66082,7.82338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,126.658172,-9.046598,2088.493632,0.987561,10:15:00,0.164683,0.798567,-0.578938,4.315286,-55.949199,55.19539,176.422185,-14.396399,0.060445,-0.248629,-0.966711,14.423342,-3.465328,0.248629,-0.060445,0.966711,-14.423342,3.465328,-0.248629,0.060445,0.966711,-176.422185,14.396399,-0.060445,0.248629,-0.966711
2,9/25/2025,14:02:31,1,2,"Tovar, Jesus",821349,Left,TEX_BOB,"Vossos, Justin",702489,Right,TEX_BOB,Undefined,1,Top,0,0,1,Changeup,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,83.02872,-1.507998,3.737737,1149.452164,82.150103,08:45:00,5.64381,-2.62394,5.43783,-41.56038,-0.18941,-10.8352,0.76494,-0.0217,76.40917,-9.057494,1.810292,0.462934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.52,0.69846,2.30045,50,5.4811,-7.41575,-120.31276,-4.65454,9.5539,23.40687,-31.15055,TEX_BOB,TEX_BOB,TexasStateUniversity,TeamExclusive,Team,20250925-TexasStateUniversity-Private-1,308818b0-9a42-11f0-862e-33ae9783893e,81.42073,NA,NA,6.61955,NA,NA,NA,NA,NA,NA,32ecd9e8-d465-4f8e-80a0-4d34dc0c3c02,2025-09-25,19:02:31,2025-09-25T19:02:31Z,2025-09-25T19:02:31Z,NA,v3,471452,471452,NA,"Namken, Clayton",NA,Right,TEX_BOB,1e7f241d-8b44-4c3f-a46a-0c4f8d395695,55.0648,-121.29412,11.70344,5.64887,-3.34853,-15.57527,2.61976,-7.81631,4.77695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,116.744164,-19.830597,1081.289355,0.9407,10:00:00,0.343937,0.848705,-0.401755,-47.824066,35.267654,-78.098999,109.314624,-65.700926,0.388339,-0.91141,-0.136106,81.506484,-22.851187,0.91141,-0.388339,0.136106,-81.506484,22.851187,-0.91141,0.388339,0.136106,-109.314624,65.700926,-0.388339,0.91141,-0.136106
3,9/25/2025,14:02:45,1,3,"Tovar, Jesus",821349,Left,TEX_BOB,"Vossos, Justin",702489,Right,TEX_BOB,Undefined,1,Top,0,1,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,90.03241,-2.043211,5.130047,2134.416025,107.74963,09:30:00,5.70065,-2.62915,5.32297,-28.6747,6.81016,-17.66454,1.38511,0.72601,82.34281,-7.292785,2.006683,0.428739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.23804,4.33532,2.1767,50,5.49432,-10.86986,-130.13605,-5.75023,17.56665,27.16951,-24.7354,TEX_BOB,TEX_BOB,TexasStateUniversity,TeamExclusive,Team,20250925-TexasStateUniversity-Private-1,392217a0-9a42-11f0-862e-33ae9783893e,87.91466,NA,NA,7.6896,NA,NA,NA,NA,NA,NA,32ecd9e8-d465-4f8e-80a0-4d34dc0c3c02,2025-09-25,19:02:45,2025-09-25T19:02:45Z,2025-09-25T19:02:45Z,NA,v3,471452,471452,NA,"Namken, Clayton",NA,Right,TEX_BOB,005ca2c2-4dc5-4d32-916e-70caef2ebef4,55.17844,-131.21274,13.58475,5.70277,-4.77001,-12.3677,2.62125,-11.566,8.78333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,118.694333,-20.579699,1998.206427,0.936184,10:00:00,0.36091,0.833225,-0.418903,-82.513182,32.390535,72.090563,94.03248,-8.089029,0.9876,-0.140712,-0.069622,63.674393,-80.967555,0.140712,-0.9876,0.069622,-63.674393,80.967555,-0.140712,0.9876,0.069622,-94.03248,8.089029,-0.9876,0.140712,-0.069622
4,9/25/2025,14:02:58,1,4,"Tovar, Jesus",821349,Left,TEX_BOB,"Vossos, Justin",702489,Right,TEX_BOB,Undefined,1,Top,0,2,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,91.02131,-1.039116,3.15184,2152.624188,136.550553,10:30:00,5.95663,-2.58055,5.48467,-18.94863,15.57926,-13.64414,3.40377,-0.76563,82.55108,-4.606877,0.725971,0.422918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.77748,8.49434,2.31333,50,5.85281,-6.63242,-131.86363,-3.02621,13.6117,29.61271,-17.3078,TEX_BOB,TEX_BOB,TexasStateUniversity,TeamExclusive,Team,20250925-TexasStateUniversity-Private-1,410dfc40-9a42-11f0-862e-33ae9783893e,89.12465,NA,NA,8.47024,NA,NA,NA,NA,NA,NA,32ecd9e8-d465-4f8e-80a0-4d34dc0c3c02,2025-09-25,19:02:58,2025-09-25T19:02:58Z,2025-09-25T19:02:58Z,NA,v3,471452,471452,NA,"Namken, Clayton",NA,Right,TEX_BOB,bb91cdd0-99fb-4502-b102-eb34992bc43a,55.01471,-132.98502,14.80636,5.955,-2.37079,-8.6539,2.57425,-7.14788,6.80585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,127.251405,-19.798233,2025.385185,0.940891,10:15:00,0.355894,0.754957,-0.5508,12.905526,-55.03981,40.678888,179.142056,-7.011122,0.014861,-0.122062,-0.992411,7.0119,-0.851528,0.122062,-0.014861,0.992411,-7.0119,0.851528,-0.122062,0.014861,0.992411,-179.142056,7.011122,-0.014861,0.122062,-0.992411
5,9/25/2025,14:03:17,1,5,"Tovar, Jesus",821349,Left,TEX_BOB,"Vossos, Justin",702489,Right,TEX_BOB,Undefined,1,Top,0,3,1,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,90.7243,-1.263768,2.86132,2174.094743,122.45459,10:00:00,6.03052,-2.43699,5.87793,-20.45659,14.09296,-20.15194,3.15041,-1.45661,81.59066,-5.144746,-0.751478,0.423051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.22831,7.98335,2.21723,50,5.9166,-5.68723,-131.44615,-3.54794,19.31029,32.29165,-18.44437,TEX_BOB,TEX_BOB,TexasStateUniversity,TeamExclusive,Team,20250925-TexasStateUniversity-Private-1,4c536c20-9a42-11f0-862e-33ae9783893e,89.09672,NA,NA,9.13365,NA,NA,NA,NA,NA,NA,32ecd9e8-d465-4f8e-80a0-4d34dc0c3c02,2025-09-25,19:03:17,2025-09-25T19:03:17Z,2025-09-25T19:03:17Z,NA,v3,471452,471452,NA,"Namken, Clayton",NA,Right,TEX_BOB,e19bad26-7b87-4622-91a0-2edc9600e0c8,54.62185,-132.57671,16.14582,6.02951,-2.90218,-9.22219,2.42818,-6.3633,9.65515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,131.712138,-12.33535,2123.903495,0.976914,10:30:00,0.229699,0.733798,-0.639358,23.504289,-39.463497,29.082395000000000,178.608365,8.474304,0.024021,0.147366,-0.98879,8.476768,1.376439,0.147366,0.024021,0.98879,-8.476768,-1.376439,-0.147366,-0.024021,0.98879,-178.608365,-8.474304,-0.024021,-0.147366,-0.98879
6,9/25/2025,14:03:45,1,6,"Tovar, Jesus",821349,Left,TEX_BOB,"Vossos, Justin",702489,Right,TEX_BOB,Undefined,1,Top,0,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,91.11726,-2.584195,5.232329,2221.261701,140.502289,10:45:00,5.9425,-2.27635,5.75221,-17.7193,16.39485,-12.59351,2.0484,1.55886,83.20133,-5.923682,2.991961,0.420377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.03453,9.46351,1.84911,50,5.71637,-11.5443,-131.75349,-6.53947,14.10923,28.24608,-15.55548,TEX_BOB,TEX_BOB,TexasStateUniversity,TeamExclusive,Team,20250925-TexasStateUniversity-Private-1,5c9d0a00-9a42-11f0-862e-33ae9783893e,89.6635,NA,NA,7.91593,NA,NA,NA,NA,NA,NA,32ecd9e8-d465-4f8e-80a0-4d34dc0c3c02,2025-09-25,19:03:45,2025-09-25T19:03:45Z,2025-09-25T19:03:45Z,NA,v3,471452,471452,NA,"Namken, Clayton",NA,Right,TEX_BOB,82f76020-9baa-40ac-b017-39b95d664713,54.75187,-132.76831,14.12304,5.94129,-5.98059,-7.77774,2.27299,-12.05122,7.05462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,128.885883,-14.060174,2154.715182,0.970041,10:15:00,0.263314,0.76526400000000000,-0.587399,25.206576,-48.396589,36.755669,179.717644,1.903795,0.004925,0.033221,-0.999436,1.903818,0.282201,0.033221,0.004925,0.999436,-1.903818,-0.282201,-0.033221,-0.004925,0.999436,-179.717644,-1.903795,-0.004925,-0.033221,-0.999436
7,9/25/2025,14:04:09,2,1,"Tovar, Jesus",821349,Left,TEX_BOB,"Powell, Ty",1,Left,TEX_BOB,Undefined,1,Top,0,0,0,Sweeper,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,78.56741,1.580681,1.91675,2239.665723,290.215353,03:45:00,5.66023,-2.52067,5.15568,-50.52286,-3.81067,14.3306,2.93921,0.47859,72.0369,-7.574225,4.451562,0.491911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.58079,-1.90697,2.33006,50,5.76916,-4.39652,-113.94798,1.35173,-8.61933,21.68325,-34.67174,TEX_BOB,TEX_BOB,TexasStateUniversity,TeamExclusive,Team,20250925-TexasStateUniversity-Private-1,6ae5a7c0-9a42-11f0-862e-33ae9783893e,76.62453,NA,NA,6.53051,NA,NA,NA,NA,NA,NA,32ecd9e8-d465-4f8e-80a0-4d34dc0c3c02,2025-09-25,19:04:09,2025-09-25T19:04:09Z,2025-09-25T19:04:09Z,NA,v3,471452,471452,NA,"Namken, Clayton",NA,Right,TEX_BOB,35e92a6d-f1a3-4ba1-9b29-723718ed6bff,55.34706,-114.96097,10.84162,5.66817,2.97152,-17.33587,2.52605,-3.99385,-4.30966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,308.730328,-64.745297,955.53767,0.426643,04:15:00,0.885466,-0.357645,0.296714,-93.98227,11.196851,14.558413,130.711255,-23.542845,0.694911,-0.399435,-0.597955,33.742961,-44.020128,0.399435,-0.694911,0.597955,-33.742961,44.020128,-0.399435,0.694911,0.597955,-130.711255,23.542845,-0.694911,0.399435,-0.597955
8,9/25/2025,14:04:26,2,2,"Tovar, Jesus",821349,Left,TEX_BOB,"Powell, Ty",1,Left,TEX_BOB,Undefined,1,Top,0,0,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,92.16147,-3.111981,4.95998,2181.988285,120.684453,10:00:00,5.96415,-2.15182,5.23562,-22.408,11.42075,-17.46607,1.15774,1.06661,84.68832,-7.228215,1.876391,0.418615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.03201,6.83843,1.70783,50,5.65983,-10.74366,-133.20477,-8.11523,18.138,26.92816,-19.8101,TEX_BOB,TEX_BOB,TexasStateUniversity,TeamExclusive,Team,20250925-TexasStateUniversity-Private-1,756fb6e0-9a42-11f0-862e-33ae9783893e,90.04089,NA,NA,7.47315,NA,NA,NA,NA,NA,NA,32ecd9e8-d465-4f8e-80a0-4d34dc0c3c02,2025-09-25,19:04:26,2025-09-25T19:04:26Z,2025-09-25T19:04:26Z,NA,v3,471452,471452,NA,"Namken, Clayton",NA,Right,TEX_BOB,0cb64081-6674-4773-a758-e27050b312de,55.26687,-134.26527,13.46408,5.96407,-7.33505,-9.90505,2.14502,-11.45799,9.069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,130.066202,-11.838497,2135.576885,0.97873,10:15:00,0.218042,0.759056,-0.613426,-0.166458,-49.29306,66.37245,177.37449,6.17862,0.045542,0.107628,-0.993148,6.185062,2.610248,0.107628,0.045542,0.993148,-6.185062,-2.610248,-0.107628,-0.045542,0.993148,-177.37449,-6.17862,-0.045542,-0.107628,-0.993148
9,9/25/2025,14:04:42,2,3,"Tovar, Jesus",821349,Left,TEX_BOB,"Powell, Ty",1,Left,TEX_BOB,Undefined,1,Top,0,1,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,90.14629,-1.991398,4.674377,2036.948584,135.721894,10:30:00,5.66338,-2.36277,4.94261,-19.8158,15.76765,-14.32135,2.12297,0.87132,82.87947,-5.646385,2.160579,0.429334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.23674,8.61823,1.92005,50,5.45323,-9.97944,-130.41026,-5.2808,14.31741,25.02138,-17.19354,TEX_BOB,TEX_BOB,TexasStateUniversity,TeamExclusive,Team,20250925-TexasStateUniversity-Private-1,7eece9e0-9a42-11f0-862e-33ae9783893e,87.79278,NA,NA,7.26682,NA,NA,NA,NA,NA,NA,32ecd9e8-d465-4f8e-80a0-4d34dc0c3c02,2025-09-25,19:04:42,2025-09-25T19:04:42Z,2025-09-25T19:04:42Z,NA,v3,471452,471452,NA,"Namken, Clayton",NA,Right,TEX_BOB,7d8cae11-023b-4f89-bbe5-5e28e1e6b109,55.55872,-131.47247,12.51069,5.66192,-4.5509,-8.59677,2.3566,-10.58724,7.15871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,120.461468,-15.410417,1963.714393,0.964047,10:00:00,0.275736,0.839712,-0.467818,-96.572179,25.589717,72.834465,90.651938,2.407675,0.999053,0.042009,-0.011368,74.857879,87.505672,0.042009,0.999053,0.011368,-74.857879,-87.505672,-0.042009,-0.999053,0.011368,-90.651938,-2.407675,-0.999053,-0.042009,-0.011368
10,9/25/2025,14:05:02,2,4,"Tovar, Jesus",821349,Left,TEX_BOB,"Powell, Ty",1,Left,TEX_BOB,Undefined,1,Top,0,2,1,Sweeper,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,78.85827,2.394543,0.980198,2448.799149,305.716565,04:15:00,5.754,-2.43934,5.2537,-51.70274,-5.47847,9.67402,3.69714,-0.71203,72.04719,-7.005256,2.695817,0.489335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.52843,-2.9463,2.34205,50,5.9355,-2.35261,-114.36379,2.94574,-5.97257,21.90642,-36.05994,TEX_BOB,TEX_BOB,TexasStateUniversity,TeamExclusive,Team,20250925-TexasStateUniversity-Private-1,8ac7e300-9a42-11f0-862e-33ae9783893e,77.02785,NA,NA,6.81108,NA,NA,NA,NA,NA,NA,32ecd9e8-d465-4f8e-80a0-4d34dc0c3c02,2025-09-25,19:05:02,2025-09-25T19:05:02Z,2025-09-25T19:05:02Z,NA,v3,471452,471452,NA,"Namken, Clayton",NA,Right,TEX_BOB,a4099f98-4ec0-42be-bb7c-d3c07c61ea84,55.24847,-115.36476,10.95321,5.76326,4.59342,-18.02997,2.44331,-2.0797,-2.98628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,312.702391,-63.792035,1081.464602,0.441631,04:30:00,0.877601,-0.36175,0.314569,-104.38391,20.797367,3.884071,129.096361,-28.247696,0.683662,-0.473284,-0.555525,40.429617,-43.130483,0.473284,-0.683662,0.555525,-40.429617,43.130483,-0.473284,0.683662,0.555525,-129.096361,28.247696,-0.683662,0.473284,-0.555525
11,9/25/2025,14:05:20,2,5,"Tovar, Jesus",821349,Left,TEX_BOB,"Powell, Ty",1,Left,TEX_BOB,Undefined,1,Top,0,3,1,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,90.38884,-2.645195,4.155879,2158.203529,119.908958,10:00:00,5.89067,-2.16025,5.46059,-22.90852,11.92056,-18.81332,1.4973,0.16892,82.94166,-6.879906,0.814451,0.424759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.59284,7.04437,1.80679,50,5.64124,-8.6645,-130.86063,-6.87867,18.443,26.5634,-19.90922,TEX_BOB,TEX_BOB,TexasStateUniversity,TeamExclusive,Team,20250925-TexasStateUniversity-Private-1,958f7050-9a42-11f0-862e-33ae9783893e,88.73845,NA,NA,7.44718,NA,NA,NA,NA,NA,NA,32ecd9e8-d465-4f8e-80a0-4d34dc0c3c02,2025-09-25,19:05:20,2025-09-25T19:05:20Z,2025-09-25T19:05:20Z,NA,v3,471452,471452,NA,"Namken, Clayton",NA,Right,TEX_BOB,4d9f0b5a-2596-4a11-995d-d81ef321e2e2,55.04177,-131.88009,13.2817,5.89057,-6.11459,-9.95461,2.1529,-9.37231,9.2215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,131.495868,-12.389491,2107.942525,0.976712,10:30:00,0.226989,0.740683,-0.632349,2.000408,-57.500921,54.803579,171.889171,-12.001126,0.138005,-0.207931,-0.968359,12.118819,-7.9324,0.207931,-0.138005,0.968359,-12.118819,7.9324,-0.207931,0.138005,0.968359,-171.889171,12.001126,-0.138005,0.207931,-0.968359
12,9/25/2025,14:05:35,2,6,"Tovar, Jesus",821349,Left,TEX_BOB,"Powell, Ty",1,Left,TEX_BOB,Undefined,1,Top,0,3,2,Sinker,Sinker,InPlay,Undefined,FlyBall,Out,1,0,NA,90.28375,-0.71977,3.746744,2155.456482,120.411171,10:00:00,5.90846,-2.10601,5.59152,-23.02989,11.47493,-17.79788,3.31574,-0.08559,82.99916,-4.992979,0.577681,0.422777,80.65395,34.904968,-8.676527,2815.575361,107.5055,67.32077,-23.29298,247.19766,232.38478,-17.607301,4.914128,10.02355,6.30776,1.79612,50,5.83157,-7.80393,-130.9865,-2.45597,17.5489,25.67024,-21.13061,TEX_BOB,TEX_BOB,TexasStateUniversity,TeamExclusive,Team,20250925-TexasStateUniversity-Private-1,9e767dd0-9a42-11f0-862e-33ae9783893e,89.15442,76.55111,NA,7.28459,NA,NA,NA,0.79302,3.5781,0.05248,32ecd9e8-d465-4f8e-80a0-4d34dc0c3c02,2025-09-25,19:05:35,2025-09-25T19:05:35Z,2025-09-25T19:05:35Z,FlyBall,v3,471452,471452,NA,"Namken, Clayton",NA,Right,TEX_BOB,4da268d2-ee43-4e1c-bf70-2d4376f5ac98,54.91184,-131.94559,12.83512,5.90858,-1.66649,-10.56531,2.09994,-8.4596,8.77445,155.510162,0.79579,95.83899,-19.66637,3.7755,-0.35764,-0.10486,0.04159,-0.00538,2.6E-04,3.57526,67.74815,-17.8129,1.45058,-0.46996,0.16811,-0.03376,0.00346,-1.5E-04,0.05172,-14.61354,-2.80808,1.83632,-0.61979,0.14903,-0.02497,0.00235,-9E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,132.068307,-23.316798,1979.421163,0.91833,10:30:00,0.4266,0.686638,-0.588678,28.44359,-51.837718,15.551748,174.539181,-4.856495,0.094823,-0.08466,-0.991888,4.87853,-5.441155,0.08466,-0.094823,0.991888,-4.87853,5.441155,-0.08466,0.094823,0.991888,-174.539181,4.856495,-0.094823,0.08466,-0.991888
